Comments,CommentID,CommentReply,CommentLike,PublishDate,VideoID,MovieDate,MovieLink,CommentDate,Difference
"Thanks for doing this, thanks for caring",UgyNyqgYGY8tfiRhQYV4AaABAg,0,9,2019-06-08T13:19:28Z,48m65zguIdc,2019-06-14,https://www.imdb.com/title/tt9403508/?ref_=adv_li_tt,2019-06-08,6
Will this be a feature-length film (ie: 90 minutes or more)?  I'm guessing it will only be shown in independent theaters?  Thanks for any info.,Ugx7pu89-cwelVwG8hh4AaABAg,1,2,2019-06-01T19:05:18Z,48m65zguIdc,2019-06-14,https://www.imdb.com/title/tt9403508/?ref_=adv_li_tt,2019-06-01,13
"watch ""the normal heart"", outstanding film",UgzR7FW-5lFIq3_CgiR4AaABAg,1,9,2019-05-23T09:32:30Z,48m65zguIdc,2019-06-14,https://www.imdb.com/title/tt9403508/?ref_=adv_li_tt,2019-05-23,22
I’m in this movie 😊,UgykzlJqgvNW1IU5YyF4AaABAg,7,7,2020-03-11T21:43:26Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-03-11,2
Hey I live in Tuscaloosa,UgzVTKg0Odq8_mZfqOh4AaABAg,0,2,2020-03-09T00:58:37Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-03-09,4
RRRRROOOOOOOOOOOOOOODDDDDRRRRRRIIIIIIIIIIIIIIIIICCCCCCKKKKKKKKKKKKKK,UgxndaLRL-GT7h9Ywfh4AaABAg,0,1,2020-03-07T10:40:44Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-03-07,6
I’m here for yg,Ugy_Bp3tP5L3Ahsdhr14AaABAg,0,4,2020-02-27T01:29:54Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-02-27,15
Tuscaloosa is so 2018. This movie should be called Baton Rouge.,Ugx5er215QgrHTzn1Fd4AaABAg,0,8,2020-02-21T14:12:57Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-02-21,21
00:33 says every batshit insane girl ever,UgzDWEFDPx0nXM54S8Z4AaABAg,1,13,2020-02-21T07:14:50Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-02-21,21
0:20 Joshua so old(,UgyZtuy95WdpvZ4NI5d4AaABAg,0,5,2020-02-21T04:34:16Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-02-21,21
"This is the story of Jasper when he was still hanging out with YG before the nuclear Armageddon. If you don't know who that is, no worries, just keep it 100.",Ugw-JgwTMnYq2WfN7xJ4AaABAg,1,6,2020-02-21T01:09:13Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-02-21,21
اول 👍👍,UgxXsZbR9LKCheJZhd14AaABAg,0,0,2020-02-20T19:34:51Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-02-20,22
