Comments,CommentID,CommentReply,CommentLike,PublishDate,VideoID,MovieDate,MovieLink,CommentDate,Difference
Reminds me of ruthless people ,Uggaqn9AoqtAsngCoAEC,0,0,2014-08-17T02:22:06Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-08-17,12
Looks shit,UggY-yb6UbMJEHgCoAEC,0,0,2014-08-10T19:21:30Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-08-10,19
"I was watching thinking ""Is that Mos Def""? and then it said ""Yaiisin Bey""... but then I remembered Mos Def was a pseudonym. Trouble is, it's not like Dwayne Johnson, it's kind of a tricky name. Good luck to him, though. I like his work.",UghhEfiyXsk2SXgCoAEC,8,11,2014-08-07T06:19:30Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-08-07,22
I'm watching cuz of Bobby,UghY0Mg-NZS4VngCoAEC,0,1,2014-08-06T01:02:27Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-08-06,23
I love all of these actors! Will watch!,Ugjok68-mYu-XXgCoAEC,0,15,2014-08-03T02:01:39Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-08-03,26
this looks pretty good,UgjfNqMEmsfIF3gCoAEC,0,0,2014-07-29T10:48:40Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-07-29,31
"""Based on the book 'THE SWITCH' by Elmore Leonard""?!?
Oh my goodness--THAT'S the book Quentin Tarantino famously loved so much he walked out of the store as a kid, forgetting to pay for it!",Ugh3QsEwxEz6IHgCoAEC,0,0,2014-07-23T03:36:54Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-07-23,37
This cast is gonna be awesome,Uggfe0cvPWUv53gCoAEC,0,1,2014-07-21T04:10:00Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-07-21,39
The mighty Mos Def!!,UgjJBLl6Cbqu8ngCoAEC,0,0,2014-07-21T03:09:58Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-07-21,39
yo mos def lol,UggAr6QROerktngCoAEC,0,0,2014-07-20T15:01:35Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-07-20,40
"lol, a weird twist on fargo",UgiujkBD72REg3gCoAEC,0,6,2014-07-14T21:13:30Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-07-14,46
OMG..tim robbins!!! The Shawshank Redemptionnnnnnnnnnnnnnnnn,Ugh6P-cseRcf1HgCoAEC,0,0,2014-07-09T16:20:08Z,M29yK7WWeKY,2014-08-29,https://www.imdb.com/title/tt1663207/?ref_=adv_li_tt,2014-07-09,51
